date,profit,loc_lat,loc_lng,loc_city
2018-01-01,634.55,32.05971,34.8732,Jerusalem
2018-01-01,4742.74,55.25,24.75,Vilnius
2018-01-01,-72.49,6.95194,121.96361,Manila
2018-01-01,274.12,53.16167,6.76111,Amsterdam
2018-01-01,-171.8,40.67705,-73.89125,New York
2018-01-01,2894.97,40.67705,-73.89125,New York
2018-01-01,3994.35,32.05971,34.8732,Jerusalem
2018-01-01,2480.42,41.14676,-73.49484,New York
2018-01-01,-554.31,41.14676,-73.49484,New York
2018-01-01,3219.77,44.98901,38.94324,Moscow
2018-01-01,3912.62,41.14676,-73.49484,New York
2018-01-01,293.45,20.88953,-156.47432,Honolulu
2018-01-01,648.97,36.06523,-119.01677,Los Angeles
2018-01-01,3940.69,32.05971,34.8732,Jerusalem
2018-01-01,4191.45,36.06523,-119.01677,Los Angeles
2018-01-01,2074.15,55.25,24.75,Vilnius
2018-01-01,4509.1,41.14676,-73.49484,New York
2018-01-01,1544.54,33.86419,48.26258,Tehran
2018-01-01,4994.93,6.95194,121.96361,Manila
2018-01-01,-448.93,6.95194,121.96361,Manila
2018-01-01,674.15,40.67705,-73.89125,New York
2018-01-01,4312.85,53.16167,6.76111,Amsterdam
2018-01-01,1264.3,6.95194,121.96361,Manila
2018-01-01,991.95,53.16167,6.76111,Amsterdam
2018-01-01,-528.44,36.06523,-119.01677,Los Angeles
2018-01-01,-991.99,44.98901,38.94324,Moscow
2018-01-01,606.23,44.98901,38.94324,Moscow
2018-01-01,2313.12,33.86419,48.26258,Tehran
2018-01-01,4936.21,41.14676,-73.49484,New York
2018-01-01,848.53,18.00747,-76.78319,Jamaica
2018-01-01,1985.73,55.25,24.75,Vilnius
2018-01-01,1158.95,55.25,24.75,Vilnius
2018-01-01,3274.88,46.23899,-63.13414,Halifax
2018-01-01,1477.99,-25.42944,-50.00639,Sao Paulo
2018-01-01,3548.56,41.14676,-73.49484,New York
2018-01-01,1001.44,40.67705,-73.89125,New York
2018-01-01,2408.96,20.88953,-156.47432,Honolulu
2018-01-01,486.39,46.23899,-63.13414,Halifax
2018-01-01,278.56,6.95194,121.96361,Manila
2018-01-01,374.83,41.14676,-73.49484,New York
2018-01-02,3638.86,36.06523,-119.01677,Los Angeles
2018-01-02,-403.89,6.95194,121.96361,Manila
2018-01-02,182.43,53.16167,6.76111,Amsterdam
2018-01-02,701.31,32.05971,34.8732,Jerusalem
2018-01-02,3991.13,20.88953,-156.47432,Honolulu
2018-01-02,-716.43,55.25,24.75,Vilnius
2018-01-02,1850.67,41.14676,-73.49484,New York
2018-01-02,755.4,33.86419,48.26258,Tehran
2018-01-02,3865.48,46.23899,-63.13414,Halifax
2018-01-02,1354.14,44.98901,38.94324,Moscow
2018-01-02,-688.83,41.14676,-73.49484,New York
2018-01-02,2488.44,-25.42944,-50.00639,Sao Paulo
2018-01-02,4531.8,53.16167,6.76111,Amsterdam
2018-01-02,4.35,18.00747,-76.78319,Jamaica
2018-01-02,4035.2,-25.42944,-50.00639,Sao Paulo
2018-01-02,2445.34,41.14676,-73.49484,New York
2018-01-02,-981.62,32.05971,34.8732,Jerusalem
2018-01-02,1335.31,53.16167,6.76111,Amsterdam
2018-01-02,418.14,36.06523,-119.01677,Los Angeles
2018-01-02,3544.62,44.98901,38.94324,Moscow
2018-01-02,3741.28,6.95194,121.96361,Manila
2018-01-02,-748.37,6.95194,121.96361,Manila
2018-01-02,4650.88,55.25,24.75,Vilnius
2018-01-02,4312.57,18.00747,-76.78319,Jamaica
2018-01-02,1656.78,18.00747,-76.78319,Jamaica
2018-01-02,-217.5,36.06523,-119.01677,Los Angeles
2018-01-02,734.7,36.06523,-119.01677,Los Angeles
2018-01-02,1583.38,46.23899,-63.13414,Halifax
2018-01-02,-341.68,41.14676,-73.49484,New York
2018-01-02,-880.23,-25.42944,-50.00639,Sao Paulo
2018-01-02,-433.84,-25.42944,-50.00639,Sao Paulo
2018-01-02,2048.41,33.86419,48.26258,Tehran
2018-01-03,-905.11,6.95194,121.96361,Manila
2018-01-03,2699.3,44.98901,38.94324,Moscow
2018-01-03,1923.41,32.05971,34.8732,Jerusalem
2018-01-03,-326.26,36.06523,-119.01677,Los Angeles
2018-01-03,4899.98,44.98901,38.94324,Moscow
2018-01-03,313.79,-25.42944,-50.00639,Sao Paulo
2018-01-03,1063.65,41.14676,-73.49484,New York
2018-01-03,4012.5,18.00747,-76.78319,Jamaica
2018-01-03,4139.41,36.06523,-119.01677,Los Angeles
2018-01-03,1111.39,33.86419,48.26258,Tehran
2018-01-03,932.86,36.06523,-119.01677,Los Angeles
2018-01-03,-92.3,6.95194,121.96361,Manila
2018-01-03,4601.7,18.00747,-76.78319,Jamaica
2018-01-03,3740.47,36.06523,-119.01677,Los Angeles
2018-01-03,602.27,20.88953,-156.47432,Honolulu
2018-01-03,3318.34,55.25,24.75,Vilnius
2018-01-03,2620.59,46.23899,-63.13414,Halifax
2018-01-03,1287.26,44.98901,38.94324,Moscow
2018-01-03,1578.68,53.16167,6.76111,Amsterdam
2018-01-03,2256.58,33.86419,48.26258,Tehran
2018-01-03,1917.9,55.25,24.75,Vilnius
2018-01-03,4245.28,33.86419,48.26258,Tehran
2018-01-03,-150.79,-25.42944,-50.00639,Sao Paulo
2018-01-03,1399.61,33.86419,48.26258,Tehran
2018-01-03,1414.14,44.98901,38.94324,Moscow
2018-01-03,4430.34,36.06523,-119.01677,Los Angeles
2018-01-03,2157.72,33.86419,48.26258,Tehran
2018-01-03,3544.6,55.25,24.75,Vilnius
2018-01-03,3682.5,6.95194,121.96361,Manila
2018-01-03,1624.14,40.67705,-73.89125,New York
2018-01-03,1997.89,6.95194,121.96361,Manila
2018-01-04,-637.31,55.25,24.75,Vilnius
2018-01-04,329.9,6.95194,121.96361,Manila
2018-01-04,2678.64,18.00747,-76.78319,Jamaica
2018-01-04,4777.99,36.06523,-119.01677,Los Angeles
2018-01-04,2299.54,55.25,24.75,Vilnius
2018-01-04,4723.36,46.23899,-63.13414,Halifax
2018-01-04,3856.64,53.16167,6.76111,Amsterdam
2018-01-04,-578.91,40.67705,-73.89125,New York
2018-01-04,3506.25,6.95194,121.96361,Manila
2018-01-04,-849.59,-25.42944,-50.00639,Sao Paulo
2018-01-04,4041.94,18.00747,-76.78319,Jamaica
2018-01-04,2573.52,53.16167,6.76111,Amsterdam
2018-01-04,-368.45,55.25,24.75,Vilnius
2018-01-04,4555.72,53.16167,6.76111,Amsterdam
2018-01-04,3814.52,40.67705,-73.89125,New York
2018-01-04,3151.7,18.00747,-76.78319,Jamaica
2018-01-04,4882.31,53.16167,6.76111,Amsterdam
2018-01-04,3238.75,36.06523,-119.01677,Los Angeles
2018-01-04,2707.6,18.00747,-76.78319,Jamaica
2018-01-04,4594.59,-25.42944,-50.00639,Sao Paulo
2018-01-04,427.47,44.98901,38.94324,Moscow
2018-01-04,1152.91,33.86419,48.26258,Tehran
2018-01-04,1579.4,6.95194,121.96361,Manila
2018-01-04,3275.66,46.23899,-63.13414,Halifax
2018-01-04,2397.38,46.23899,-63.13414,Halifax
2018-01-04,1102.42,18.00747,-76.78319,Jamaica
2018-01-04,1041.77,41.14676,-73.49484,New York
2018-01-04,3483.35,20.88953,-156.47432,Honolulu
2018-01-04,617.23,55.25,24.75,Vilnius
2018-01-05,-382.64,53.16167,6.76111,Amsterdam
2018-01-05,3004.6,40.67705,-73.89125,New York
2018-01-05,-636.91,46.23899,-63.13414,Halifax
2018-01-05,-576.42,41.14676,-73.49484,New York
2018-01-05,521.83,40.67705,-73.89125,New York
2018-01-05,2387.59,32.05971,34.8732,Jerusalem
2018-01-05,3682.74,44.98901,38.94324,Moscow
2018-01-05,3645.63,40.67705,-73.89125,New York
2018-01-05,3070.88,53.16167,6.76111,Amsterdam
2018-01-05,740.37,-25.42944,-50.00639,Sao Paulo
2018-01-05,4842.28,6.95194,121.96361,Manila
2018-01-05,1228.75,36.06523,-119.01677,Los Angeles
2018-01-05,4934.54,55.25,24.75,Vilnius
2018-01-05,1030.9,-25.42944,-50.00639,Sao Paulo
2018-01-05,1216.69,44.98901,38.94324,Moscow
2018-01-05,380.65,32.05971,34.8732,Jerusalem
2018-01-05,2090.46,41.14676,-73.49484,New York
2018-01-05,3485.21,32.05971,34.8732,Jerusalem
2018-01-05,2566.4,55.25,24.75,Vilnius
2018-01-05,1220.1,6.95194,121.96361,Manila
2018-01-05,3587.88,18.00747,-76.78319,Jamaica
2018-01-05,3580.26,33.86419,48.26258,Tehran
2018-01-05,4515.63,6.95194,121.96361,Manila
2018-01-05,232.94,53.16167,6.76111,Amsterdam
2018-01-05,2469.34,-25.42944,-50.00639,Sao Paulo
2018-01-05,3538.53,32.05971,34.8732,Jerusalem
2018-01-05,3450.24,18.00747,-76.78319,Jamaica
2018-01-05,2074.53,36.06523,-119.01677,Los Angeles
2018-01-05,3306.78,18.00747,-76.78319,Jamaica
2018-01-05,1935.17,46.23899,-63.13414,Halifax
2018-01-05,3534.98,32.05971,34.8732,Jerusalem
